application_status_history_id,application_id,status,status_start_at,status_end_at,changed_by
1,0,Submitted,2025-08-13 22:05:04,,membership_officer
2,1,Submitted,2026-01-05 18:57:41,2026-01-26 18:57:41,system
3,1,Under Review,2026-01-26 18:57:41,2026-02-12 18:57:41,system
4,1,Pending Payment,2026-02-12 18:57:41,2026-03-02 18:57:41,system
5,1,Approved,2026-03-02 18:57:41,,review_committee
6,2,Submitted,2022-01-15 03:55:36,2022-01-16 03:55:36,system
7,2,Under Review,2022-01-16 03:55:36,2022-02-01 03:55:36,system
8,2,Pending Payment,2022-02-01 03:55:36,2022-02-28 03:55:36,review_committee
9,2,Approved,2022-02-28 03:55:36,,membership_officer
10,3,Submitted,2022-02-19 07:59:09,2022-02-28 07:59:09,system
11,3,Under Review,2022-02-28 07:59:09,2022-03-01 07:59:09,system
12,3,Pending Payment,2022-03-01 07:59:09,2022-03-26 07:59:09,system
13,3,Approved,2022-03-26 07:59:09,,system
14,4,Submitted,2023-03-21 20:49:18,2023-03-27 20:49:18,membership_officer
15,4,Withdrawn,2023-03-27 20:49:18,,system
16,5,Submitted,2025-01-20 13:32:23,2025-01-30 13:32:23,membership_officer
17,5,Under Review,2025-01-30 13:32:23,2025-02-09 13:32:23,membership_officer
18,5,Rejected,2025-02-09 13:32:23,,membership_officer
19,6,Submitted,2025-11-25 16:05:24,2025-11-26 16:05:24,review_committee
20,6,Under Review,2025-11-26 16:05:24,2025-11-29 16:05:24,review_committee
21,6,Pending Payment,2025-11-29 16:05:24,2025-12-10 16:05:24,system
22,6,Approved,2025-12-10 16:05:24,,system
23,7,Submitted,2024-04-04 01:32:53,2024-04-12 01:32:53,review_committee
24,7,Under Review,2024-04-12 01:32:53,2024-05-06 01:32:53,review_committee
25,7,Pending Payment,2024-05-06 01:32:53,2024-06-05 01:32:53,membership_officer
26,7,Approved,2024-06-05 01:32:53,,review_committee
27,8,Submitted,2024-02-02 12:18:09,2024-02-22 12:18:09,membership_officer
28,8,Under Review,2024-02-22 12:18:09,2024-03-16 12:18:09,review_committee
29,8,Rejected,2024-03-16 12:18:09,,system
30,9,Submitted,2021-11-19 06:44:03,2021-12-15 06:44:03,membership_officer
31,9,Under Review,2021-12-15 06:44:03,2021-12-27 06:44:03,membership_officer
32,9,Pending Payment,2021-12-27 06:44:03,2022-01-24 06:44:03,review_committee
33,9,Approved,2022-01-24 06:44:03,,system
34,10,Submitted,2026-01-13 10:29:02,2026-02-06 10:29:02,system
35,10,Under Review,2026-02-06 10:29:02,2026-03-06 10:29:02,review_committee
36,10,Pending Payment,2026-03-06 10:29:02,2026-03-15 10:29:02,system
37,10,Approved,2026-03-15 10:29:02,,system
38,11,Submitted,2022-06-23 12:22:01,2022-07-20 12:22:01,system
39,11,Under Review,2022-07-20 12:22:01,2022-07-21 12:22:01,review_committee
40,11,Pending Payment,2022-07-21 12:22:01,2022-07-26 12:22:01,system
41,11,Approved,2022-07-26 12:22:01,,membership_officer
42,12,Submitted,2023-03-24 15:52:15,2023-04-18 15:52:15,membership_officer
43,12,Under Review,2023-04-18 15:52:15,2023-05-09 15:52:15,membership_officer
44,12,Pending Payment,2023-05-09 15:52:15,2023-06-03 15:52:15,membership_officer
45,12,Approved,2023-06-03 15:52:15,,membership_officer
46,13,Submitted,2022-11-12 10:32:06,2022-12-03 10:32:06,membership_officer
47,13,Under Review,2022-12-03 10:32:06,2022-12-21 10:32:06,review_committee
48,13,Pending Payment,2022-12-21 10:32:06,2023-01-01 10:32:06,membership_officer
49,13,Approved,2023-01-01 10:32:06,,membership_officer
50,14,Submitted,2022-09-19 22:59:12,2022-09-24 22:59:12,system
51,14,Under Review,2022-09-24 22:59:12,2022-10-09 22:59:12,system
52,14,Pending Payment,2022-10-09 22:59:12,2022-11-05 22:59:12,membership_officer
53,14,Approved,2022-11-05 22:59:12,,review_committee
54,15,Submitted,2023-12-30 12:41:46,2024-01-02 12:41:46,membership_officer
55,15,Under Review,2024-01-02 12:41:46,2024-01-07 12:41:46,system
56,15,Rejected,2024-01-07 12:41:46,,system
57,16,Submitted,2022-06-09 05:14:17,2022-06-27 05:14:17,system
58,16,Under Review,2022-06-27 05:14:17,2022-07-16 05:14:17,review_committee
59,16,Rejected,2022-07-16 05:14:17,,membership_officer
60,17,Submitted,2024-02-07 10:39:10,2024-02-08 10:39:10,review_committee
61,17,Under Review,2024-02-08 10:39:10,2024-02-25 10:39:10,membership_officer
62,17,Rejected,2024-02-25 10:39:10,,review_committee
63,18,Submitted,2021-12-13 05:59:02,2021-12-24 05:59:02,review_committee
64,18,Under Review,2021-12-24 05:59:02,2022-01-11 05:59:02,review_committee
65,18,Pending Payment,2022-01-11 05:59:02,2022-02-04 05:59:02,membership_officer
66,18,Approved,2022-02-04 05:59:02,,system
67,19,Submitted,2022-03-11 23:16:01,2022-03-22 23:16:01,review_committee
68,19,Under Review,2022-03-22 23:16:01,2022-03-24 23:16:01,review_committee
69,19,Pending Payment,2022-03-24 23:16:01,2022-04-10 23:16:01,system
70,19,Approved,2022-04-10 23:16:01,,review_committee
71,20,Submitted,2024-03-08 12:07:06,2024-03-28 12:07:06,membership_officer
72,20,Under Review,2024-03-28 12:07:06,2024-04-01 12:07:06,membership_officer
73,20,Pending Payment,2024-04-01 12:07:06,2024-04-07 12:07:06,membership_officer
74,20,Approved,2024-04-07 12:07:06,,membership_officer
75,21,Submitted,2025-02-12 21:33:50,2025-02-15 21:33:50,membership_officer
