company_id,company_name,industry,city,country,phone_number,website,email,created_at
0,Banca Privada OLMJ S.L.N.E,Finance,Punta Cana,Dominican Republic,+34823 96 00 13,http://www.soluciones.org/,cuervojose@nieto.es,2022-05-10 21:59:40
1,Restauración SR S.C.P,Retail,Santiago,Dominican Republic,+34 803 78 16 18,https://comercializadora.org/,guerreroroxana@restauracion.org,2022-02-04 04:48:03
2,Industrias Cárdenas S.Coop.,Retail,Puerto Plata,Dominican Republic,+34 885 835 030,https://comercializadora.es/,jsegarra@desarrollo.es,2024-11-19 06:06:15
3,Gimenez & Asociados S.Coop.,Manufacturing,La Romana,Dominican Republic,+34824 012 269,http://sole.com/,lasamaria-jose@canton.es,2021-07-07 10:37:55
4,Farmaceútica Vera & Asociados S.L.N.E,Construction,Punta Cana,Dominican Republic,+34900 89 32 52,http://alejo.org/,bautistahernando@compania.es,2026-03-01 12:58:17
5,Infraestructuras Álamo S.L.N.E,Legal Services,La Romana,Dominican Republic,+34 949383465,https://industrias.net/,beldalaura@grupo.es,2022-02-02 12:09:03
6,Inmobiliaria del Sur S.A.T.,Finance,Puerto Plata,Dominican Republic,+34842 997 376,http://www.suministros.com/,quevedoluisa@canales.es,2022-09-05 21:23:37
7,Español y Lopez S.Coop.,Manufacturing,Santiago,Dominican Republic,+34821 78 10 80,http://www.soluciones.es/,cozarreynaldo@hnos.es,2023-11-30 14:22:05
8,Torrecilla y Cortina S.A.,Healthcare,Santiago,Dominican Republic,+34 876 098 050,http://comercial.com/,bayoimelda@servicios.net,2026-05-30 23:58:38
9,Familia Rius S.L.,Construction,Punta Cana,Dominican Republic,+34 985543534,https://www.talleres.com/,garcesantonia@desarrollo.es,2023-11-29 18:50:39
10,Supermercados Mate S.Coop.,Consulting,San Francisco de Macorís,Dominican Republic,+34 986084124,http://www.inmobiliaria.es/,jacintalaguna@jose.org,2021-11-11 07:59:28
11,Hermanos Castrillo S.L.,Construction,Santiago,Dominican Republic,+34883278680,http://www.banco.com/,ccastell@promociones.net,2022-05-12 17:29:30
12,Ramos & Asociados S.L.N.E,Construction,San Pedro de Macorís,Dominican Republic,+34 879 22 60 25,https://www.distribuciones.es/,heracliosegui@mayoral.net,2024-11-16 08:25:15
13,Lopez & Asociados S.L.N.E,Education,Santo Domingo,Dominican Republic,+34886 586 850,http://infraestructuras.es/,luisina56@restauracion.net,2024-08-01 22:57:55
14,Becerra y Murillo S.L.,Healthcare,San Francisco de Macorís,Dominican Republic,+34 841484656,https://www.soluciones.com/,santiago80@instalaciones.es,2025-06-11 00:40:34
15,Vasco García Vicente S.Coop.,Manufacturing,San Pedro de Macorís,Dominican Republic,+34848 14 89 51,http://finanzas.net/,dbeltran@ferreras.net,2022-09-28 20:21:38
16,Familia Rodríguez S.A.T.,Education,Santiago,Dominican Republic,+34 984 70 83 17,http://salas.es/,martaboada@juan.es,2023-07-10 16:06:31
17,Supermercados Berenguer y asociados S.A.U,Legal Services,Santiago,Dominican Republic,+34 923581223,https://www.comercializadora.es/,nbarrios@porras.es,2025-07-18 06:49:50
18,Hermanos Martín S.L.,Legal Services,Puerto Plata,Dominican Republic,+34948 889 373,https://ambrosio.es/,priscilasolsona@banca.com,2022-03-15 04:13:12
19,Cerdá y Serrano S.A.,Construction,San Francisco de Macorís,Dominican Republic,+34 883 65 37 55,https://iniesta.com/,jacobo10@grupo.com,2023-07-08 11:50:38
20,Tecnologías Carbó S.Coop.,Retail,Punta Cana,Dominican Republic,+34 876745299,http://www.construccion.es/,efiol@construccion.com,2026-04-20 15:38:00
21,Hermanos Romero S.L.,Retail,San Pedro de Macorís,Dominican Republic,+34820850671,https://laura.org/,bsola@logistica.es,2023-07-25 00:25:10
22,Clotilde Pinilla Navarrete S.A.,Legal Services,Puerto Plata,Dominican Republic,+34 921 27 35 45,https://grupo.es/,shernandez@flavia.com,2023-12-28 12:26:20
23,Servicios Ibéricos S.Com.,Education,Punta Cana,Dominican Republic,+34928 78 85 68,https://kike.net/,dimas82@fabrica.org,2022-05-05 16:24:49
24,Instalaciones Ibéricos S.Com.,Construction,San Pedro de Macorís,Dominican Republic,+34901 082 400,https://www.cristian.es/,geronimo04@danilo.com,2022-10-11 18:13:47
25,Inversiones Blázquez S.L.U.,Technology,Santo Domingo,Dominican Republic,+34 838699938,https://manuel.com/,galianoeufemia@infraestructuras.com,2026-03-08 08:10:08
26,Distribuciones VJ S.Coop.,Consulting,Santo Domingo,Dominican Republic,+34743 447 134,http://hotel.org/,dcasanova@servicios.com,2025-02-28 15:02:09
27,Ibáñez & Asociados S.A.,Consulting,San Pedro de Macorís,Dominican Republic,+34724 902 787,https://www.tellez.es/,miguel-angel12@requena.es,2026-03-02 10:49:13
28,Hnos Borja S.Com.,Technology,Puerto Plata,Dominican Republic,+34 921168087,https://www.promociones.com/,juanitocastro@supermercados.net,2022-11-01 10:10:33
29,Alimentación Raya & Asociados S.A.T.,Construction,San Francisco de Macorís,Dominican Republic,+34 828 71 27 48,https://agustina.es/,africaverdejo@comercializadora.es,2024-05-18 07:34:42
30,Alimentación Luna y asociados S.L.L.,Legal Services,Puerto Plata,Dominican Republic,+34979 278 755,https://fabregat.net/,uarranz@julieta.com,2025-09-13 07:01:28
31,Grupo Vallés S.L.N.E,Legal Services,Santiago,Dominican Republic,+34922 171 870,http://comercializadora.org/,estrella61@pinto.es,2026-02-02 05:43:18
32,Familia Guitart S.L.,Manufacturing,Santo Domingo,Dominican Republic,+34 888 316 117,http://familia.org/,reinaldo62@soluciones.com,2024-09-27 21:12:51
33,Transportes Globales S.A.U,Retail,Santo Domingo,Dominican Republic,+34 882 74 07 48,http://www.onofre.es/,heliodoro67@industrias.es,2023-10-28 03:23:05
34,Familia Valdés S.L.L.,Retail,Santo Domingo,Dominican Republic,+34887 39 53 39,https://www.banco.org/,mariana62@desarrollo.org,2022-11-20 13:57:55
