event_attendance_id,event_id,member_id,attendance_status,registered_at,attended_at
1,1,299,Cancelled,2025-01-12 14:41:02,
2,1,284,Attended,2024-12-25 14:41:02,2025-01-21 14:41:02
3,1,2176,No Show,2025-01-12 14:41:02,
4,1,1419,Attended,2025-01-17 14:41:02,2025-01-21 14:41:02
5,1,1711,Attended,2024-12-14 14:41:02,2025-01-21 14:41:02
6,1,2022,Registered,2024-12-27 14:41:02,
7,1,2968,Attended,2025-01-02 14:41:02,2025-01-21 14:41:02
8,1,503,Attended,2024-12-27 14:41:02,2025-01-21 14:41:02
9,1,2505,Attended,2025-01-07 14:41:02,2025-01-21 14:41:02
10,1,2471,Attended,2025-01-07 14:41:02,2025-01-21 14:41:02
11,1,775,Attended,2024-12-23 14:41:02,2025-01-21 14:41:02
12,1,991,Attended,2025-01-05 14:41:02,2025-01-21 14:41:02
13,1,440,Registered,2024-12-16 14:41:02,
14,1,3132,Attended,2024-12-18 14:41:02,2025-01-21 14:41:02
15,1,712,Cancelled,2024-12-23 14:41:02,
16,1,1149,No Show,2025-01-11 14:41:02,
17,1,596,Registered,2025-01-11 14:41:02,
18,1,770,Registered,2025-01-15 14:41:02,
19,1,957,Attended,2025-01-06 14:41:02,2025-01-21 14:41:02
20,1,706,Attended,2024-12-16 14:41:02,2025-01-21 14:41:02
21,1,565,Attended,2025-01-13 14:41:02,2025-01-21 14:41:02
22,1,560,Attended,2025-01-05 14:41:02,2025-01-21 14:41:02
23,1,40,Cancelled,2024-12-15 14:41:02,
24,1,1374,Attended,2025-01-02 14:41:02,2025-01-21 14:41:02
25,1,1266,No Show,2025-01-01 14:41:02,
26,1,1594,Attended,2024-12-16 14:41:02,2025-01-21 14:41:02
27,1,1053,Attended,2025-01-10 14:41:02,2025-01-21 14:41:02
28,1,1726,Attended,2025-01-15 14:41:02,2025-01-21 14:41:02
29,1,1753,Attended,2024-12-24 14:41:02,2025-01-21 14:41:02
30,1,2429,Attended,2024-12-14 14:41:02,2025-01-21 14:41:02
31,1,1596,Attended,2024-12-12 14:41:02,2025-01-21 14:41:02
32,1,1093,Attended,2025-01-16 14:41:02,2025-01-21 14:41:02
33,1,3120,Attended,2025-01-14 14:41:02,2025-01-21 14:41:02
34,1,1054,Attended,2024-12-09 14:41:02,2025-01-21 14:41:02
35,1,1434,Registered,2024-12-31 14:41:02,
36,1,3056,Registered,2025-01-09 14:41:02,
37,1,1768,Cancelled,2025-01-14 14:41:02,
38,1,1564,Registered,2025-01-01 14:41:02,
39,1,2183,Registered,2025-01-13 14:41:02,
40,1,3009,Attended,2024-12-26 14:41:02,2025-01-21 14:41:02
41,1,905,Registered,2024-12-17 14:41:02,
42,1,1200,Attended,2024-12-11 14:41:02,2025-01-21 14:41:02
43,1,2073,Attended,2024-12-12 14:41:02,2025-01-21 14:41:02
44,1,3208,Cancelled,2024-12-24 14:41:02,
45,1,2569,Attended,2025-01-13 14:41:02,2025-01-21 14:41:02
46,1,2017,Attended,2025-01-02 14:41:02,2025-01-21 14:41:02
47,1,307,Attended,2024-12-09 14:41:02,2025-01-21 14:41:02
48,1,1421,Attended,2025-01-05 14:41:02,2025-01-21 14:41:02
49,1,2836,No Show,2024-12-12 14:41:02,
50,1,56,Cancelled,2024-12-30 14:41:02,
51,1,3178,Attended,2025-01-17 14:41:02,2025-01-21 14:41:02
52,1,1034,No Show,2025-01-12 14:41:02,
53,1,2140,Attended,2024-12-10 14:41:02,2025-01-21 14:41:02
54,1,2609,Attended,2025-01-20 14:41:02,2025-01-21 14:41:02
55,1,2568,Attended,2024-12-13 14:41:02,2025-01-21 14:41:02
56,1,2831,Attended,2025-01-17 14:41:02,2025-01-21 14:41:02
57,1,491,Cancelled,2024-12-17 14:41:02,
58,1,777,Attended,2025-01-15 14:41:02,2025-01-21 14:41:02
59,1,1171,Cancelled,2024-12-15 14:41:02,
60,1,1820,Attended,2025-01-11 14:41:02,2025-01-21 14:41:02
61,1,1803,No Show,2025-01-02 14:41:02,
62,1,1397,Registered,2025-01-19 14:41:02,
63,1,2826,Registered,2024-12-15 14:41:02,
64,1,2800,Attended,2024-12-30 14:41:02,2025-01-21 14:41:02
65,1,2638,Attended,2024-12-25 14:41:02,2025-01-21 14:41:02
66,1,2780,Attended,2024-12-20 14:41:02,2025-01-21 14:41:02
67,1,118,Attended,2025-01-14 14:41:02,2025-01-21 14:41:02
68,1,3099,Cancelled,2024-12-30 14:41:02,
69,1,1863,Attended,2024-12-09 14:41:02,2025-01-21 14:41:02
70,1,1232,Registered,2025-01-03 14:41:02,
71,1,374,Registered,2025-01-17 14:41:02,
72,1,3094,Attended,2025-01-06 14:41:02,2025-01-21 14:41:02
73,1,708,Cancelled,2025-01-06 14:41:02,
74,1,2323,Attended,2024-12-30 14:41:02,2025-01-21 14:41:02
75,1,290,No Show,2024-12-31 14:41:02,
76,1,1382,Attended,2025-01-03 14:41:02,2025-01-21 14:41:02
77,1,50,Attended,2024-12-18 14:41:02,2025-01-21 14:41:02
78,1,3032,No Show,2024-12-13 14:41:02,
79,1,239,Attended,2024-12-24 14:41:02,2025-01-21 14:41:02
80,1,1161,Registered,2024-12-27 14:41:02,
81,1,2770,Attended,2025-01-11 14:41:02,2025-01-21 14:41:02
82,1,2473,Attended,2025-01-07 14:41:02,2025-01-21 14:41:02
83,1,1476,Attended,2025-01-17 14:41:02,2025-01-21 14:41:02
84,1,3075,Attended,2025-01-08 14:41:02,2025-01-21 14:41:02
85,1,2287,No Show,2024-12-30 14:41:02,
86,1,1396,Registered,2024-12-21 14:41:02,
87,1,27,Attended,2024-12-22 14:41:02,2025-01-21 14:41:02
88,1,1918,Registered,2024-12-11 14:41:02,
89,1,1151,Attended,2024-12-30 14:41:02,2025-01-21 14:41:02
90,1,2698,Attended,2025-01-05 14:41:02,2025-01-21 14:41:02
91,1,1381,Registered,2025-01-01 14:41:02,
92,1,1852,Registered,2025-01-06 14:41:02,
93,1,300,Cancelled,2024-12-25 14:41:02,
94,1,3005,Registered,2025-01-01 14:41:02,
95,1,783,Attended,2025-01-18 14:41:02,2025-01-21 14:41:02
96,1,154,Registered,2025-01-09 14:41:02,
97,1,21,Registered,2024-12-07 14:41:02,
98,1,3162,Attended,2024-12-23 14:41:02,2025-01-21 14:41:02
99,1,2215,Registered,2024-12-13 14:41:02,
100,1,3209,Attended,2025-01-06 14:41:02,2025-01-21 14:41:02
101,1,384,Attended,2025-01-17 14:41:02,2025-01-21 14:41:02
102,1,2378,No Show,2024-12-27 14:41:02,
103,1,848,Attended,2025-01-03 14:41:02,2025-01-21 14:41:02
104,1,788,Attended,2025-01-01 14:41:02,2025-01-21 14:41:02
105,1,359,Attended,2025-01-13 14:41:02,2025-01-21 14:41:02
106,1,2484,Registered,2025-01-14 14:41:02,
107,1,2216,Attended,2025-01-15 14:41:02,2025-01-21 14:41:02
108,1,454,Attended,2025-01-02 14:41:02,2025-01-21 14:41:02
109,1,126,Registered,2025-01-03 14:41:02,
110,1,2664,Cancelled,2024-12-12 14:41:02,
111,1,649,Attended,2025-01-20 14:41:02,2025-01-21 14:41:02
112,1,785,Attended,2025-01-04 14:41:02,2025-01-21 14:41:02
113,1,2358,Cancelled,2025-01-11 14:41:02,
114,1,670,Attended,2024-12-10 14:41:02,2025-01-21 14:41:02
115,1,204,Attended,2025-01-14 14:41:02,2025-01-21 14:41:02
116,1,121,Attended,2024-12-22 14:41:02,2025-01-21 14:41:02
117,1,381,No Show,2025-01-02 14:41:02,
118,1,1094,Attended,2024-12-22 14:41:02,2025-01-21 14:41:02
119,1,2062,Attended,2025-01-15 14:41:02,2025-01-21 14:41:02
120,1,194,Attended,2024-12-15 14:41:02,2025-01-21 14:41:02
121,1,2985,No Show,2025-01-08 14:41:02,
122,1,754,Attended,2024-12-23 14:41:02,2025-01-21 14:41:02
123,1,2174,Attended,2025-01-13 14:41:02,2025-01-21 14:41:02
124,1,677,No Show,2024-12-14 14:41:02,
125,1,624,Attended,2025-01-20 14:41:02,2025-01-21 14:41:02
126,1,998,Attended,2025-01-14 14:41:02,2025-01-21 14:41:02
127,1,965,Attended,2024-12-11 14:41:02,2025-01-21 14:41:02
128,1,2321,Registered,2024-12-12 14:41:02,
129,1,531,Attended,2024-12-22 14:41:02,2025-01-21 14:41:02
130,1,1134,No Show,2025-01-05 14:41:02,
131,1,1571,Attended,2024-12-12 14:41:02,2025-01-21 14:41:02
132,1,797,Attended,2025-01-01 14:41:02,2025-01-21 14:41:02
133,1,2228,Attended,2024-12-09 14:41:02,2025-01-21 14:41:02
134,1,3053,Attended,2025-01-13 14:41:02,2025-01-21 14:41:02
135,1,506,Attended,2025-01-13 14:41:02,2025-01-21 14:41:02
136,1,1799,Attended,2024-12-21 14:41:02,2025-01-21 14:41:02
137,1,945,Attended,2025-01-08 14:41:02,2025-01-21 14:41:02
138,1,1355,Attended,2024-12-18 14:41:02,2025-01-21 14:41:02
139,1,293,No Show,2024-12-22 14:41:02,
140,1,1065,Cancelled,2024-12-07 14:41:02,
141,1,1903,Cancelled,2024-12-16 14:41:02,
142,1,2526,Attended,2025-01-03 14:41:02,2025-01-21 14:41:02
143,1,1592,Cancelled,2024-12-09 14:41:02,
144,1,2874,Registered,2025-01-01 14:41:02,
145,1,3116,Cancelled,2025-01-13 14:41:02,
146,1,1539,Registered,2024-12-14 14:41:02,
147,1,1306,No Show,2024-12-09 14:41:02,
148,1,2297,No Show,2024-12-26 14:41:02,
149,1,165,Registered,2024-12-13 14:41:02,
150,1,987,Attended,2024-12-25 14:41:02,2025-01-21 14:41:02
151,1,466,Attended,2024-12-19 14:41:02,2025-01-21 14:41:02
152,1,1383,Attended,2024-12-15 14:41:02,2025-01-21 14:41:02
153,1,658,Attended,2025-01-13 14:41:02,2025-01-21 14:41:02
154,1,2675,Registered,2024-12-23 14:41:02,
155,1,232,No Show,2025-01-08 14:41:02,
156,1,549,Attended,2025-01-04 14:41:02,2025-01-21 14:41:02
157,1,1027,Attended,2024-12-09 14:41:02,2025-01-21 14:41:02
158,1,1000,Attended,2025-01-05 14:41:02,2025-01-21 14:41:02
159,1,1276,Attended,2024-12-08 14:41:02,2025-01-21 14:41:02
160,1,875,Attended,2024-12-20 14:41:02,2025-01-21 14:41:02
161,1,958,No Show,2025-01-19 14:41:02,
162,1,1461,Attended,2024-12-07 14:41:02,2025-01-21 14:41:02
163,1,185,No Show,2025-01-11 14:41:02,
164,1,2386,Attended,2025-01-14 14:41:02,2025-01-21 14:41:02
165,1,265,Attended,2025-01-06 14:41:02,2025-01-21 14:41:02
166,1,2108,Attended,2024-12-15 14:41:02,2025-01-21 14:41:02
167,1,2547,Attended,2024-12-20 14:41:02,2025-01-21 14:41:02
168,1,1241,Attended,2024-12-14 14:41:02,2025-01-21 14:41:02
169,1,2274,Attended,2024-12-18 14:41:02,2025-01-21 14:41:02
170,1,2869,Attended,2025-01-13 14:41:02,2025-01-21 14:41:02
171,1,2587,Attended,2025-01-03 14:41:02,2025-01-21 14:41:02
172,1,512,Attended,2025-01-04 14:41:02,2025-01-21 14:41:02
173,1,1832,Attended,2025-01-20 14:41:02,2025-01-21 14:41:02
174,1,2909,Attended,2025-01-03 14:41:02,2025-01-21 14:41:02
