member_status_history_id,member_id,status,status_start_at,status_end_at,changed_by,change_reason
1,1,Active,2026-03-02 18:57:41,,system,Current member status
2,2,Active,2022-02-28 03:55:36,2023-02-01,system,Membership active before annual renewal
3,2,Pending Renewal,2023-02-01 00:00:00,2023-02-25,finance_officer,Renewal payment received
4,2,Active,2023-02-25 00:00:00,2024-02-01,system,Membership active before annual renewal
5,2,Pending Renewal,2024-02-01 00:00:00,2024-02-19,finance_officer,Renewal payment received
6,2,Active,2024-02-19 00:00:00,2025-02-01,system,Membership active before annual renewal
7,2,Pending Renewal,2025-02-01 00:00:00,2025-04-04,system,Renewal payment received
8,2,Active,2025-04-04 00:00:00,2026-02-01,system,Membership active before annual renewal
9,2,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
10,3,Active,2022-03-26 07:59:09,2023-02-01,system,Membership active before annual renewal
11,3,Pending Renewal,2023-02-01 00:00:00,2023-03-09,membership_officer,Renewal payment received
12,3,Active,2023-03-09 00:00:00,2024-02-01,system,Membership active before annual renewal
13,3,Pending Renewal,2024-02-01 00:00:00,2024-02-14,system,Renewal payment received
14,3,Active,2024-02-14 00:00:00,2025-02-01,system,Membership active before annual renewal
15,3,Pending Renewal,2025-02-01 00:00:00,2025-02-05,system,Renewal payment received
16,3,Active,2025-02-05 00:00:00,2026-02-01,system,Membership active before annual renewal
17,3,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
18,4,Active,2025-12-10 16:05:24,2026-02-01,system,Membership active before annual renewal
19,4,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
20,5,Active,2024-06-05 01:32:53,2025-02-01,system,Membership active before annual renewal
21,5,Pending Renewal,2025-02-01 00:00:00,2025-03-19,membership_officer,Renewal payment received
22,5,Active,2025-03-19 00:00:00,2026-02-01,system,Membership active before annual renewal
23,5,Pending Renewal,2026-02-01 00:00:00,2026-02-12,system,Renewal payment received
24,5,Active,2026-02-12 00:00:00,,system,Current member status
25,6,Active,2022-01-24 06:44:03,2023-02-01,system,Membership active before annual renewal
26,6,Pending Renewal,2023-02-01 00:00:00,2023-08-01,system,Renewal overdue for more than 6 months
27,6,Inactive,2023-08-01 00:00:00,2024-08-01,system,Inactive for more than 1 year
28,6,Cancelled,2024-08-01 00:00:00,,system,Current member status
29,7,Active,2026-03-15 10:29:02,,system,Current member status
30,8,Active,2022-07-26 12:22:01,2023-02-01,system,Membership active before annual renewal
31,8,Pending Renewal,2023-02-01 00:00:00,2023-07-20,system,Renewal payment received
32,8,Active,2023-07-20 00:00:00,2024-02-01,system,Membership active before annual renewal
33,8,Pending Renewal,2024-02-01 00:00:00,2024-05-16,membership_officer,Renewal payment received
34,8,Active,2024-05-16 00:00:00,2025-02-01,system,Membership active before annual renewal
35,8,Pending Renewal,2025-02-01 00:00:00,2025-06-08,finance_officer,Renewal payment received
36,8,Active,2025-06-08 00:00:00,2026-02-01,system,Membership active before annual renewal
37,8,Pending Renewal,2026-02-01 00:00:00,2026-03-26,membership_officer,Renewal payment received
38,8,Active,2026-03-26 00:00:00,,system,Current member status
39,9,Active,2023-06-03 15:52:15,2024-02-01,system,Membership active before annual renewal
40,9,Pending Renewal,2024-02-01 00:00:00,2024-06-20,membership_officer,Renewal payment received
41,9,Active,2024-06-20 00:00:00,2025-02-01,system,Membership active before annual renewal
42,9,Pending Renewal,2025-02-01 00:00:00,2025-06-06,finance_officer,Renewal payment received
43,9,Active,2025-06-06 00:00:00,2026-02-01,system,Membership active before annual renewal
44,9,Pending Renewal,2026-02-01 00:00:00,,system,Current member status
45,10,Active,2023-01-01 10:32:06,2024-02-01,system,Membership active before annual renewal
46,10,Pending Renewal,2024-02-01 00:00:00,2024-08-01,system,Renewal overdue for more than 6 months
47,10,Inactive,2024-08-01 00:00:00,2025-08-01,system,Inactive for more than 1 year
48,10,Cancelled,2025-08-01 00:00:00,,system,Current member status
49,11,Active,2022-11-05 22:59:12,2023-02-01,system,Membership active before annual renewal
