payment_id,member_id,application_id,event_id,event_attendance_id,invoice_id,payment_type,amount,currency,payment_status,payment_method,billing_period,due_date,paid_at
1,1,1.0,,,5cb9989c-df41-4927-a792-841ae7355df7,Initial Subscription,10000,DOP,Paid,Check,2026,2026-02-12 18:57:41,2026-03-02 18:57:41
2,2,2.0,,,1cfcbd1d-3ea7-4ccc-9dd0-e0e473e30da8,Initial Subscription,10000,DOP,Paid,Check,2022,2022-02-01 03:55:36,2022-02-28 03:55:36
3,3,3.0,,,89042e1b-9cb0-436b-a1ba-3dcbccbefa23,Initial Subscription,10000,DOP,Paid,Check,2022,2022-03-01 07:59:09,2022-03-26 07:59:09
4,4,6.0,,,4391f7d4-432f-4d68-b58d-758740cf70e0,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-11-29 16:05:24,2025-12-10 16:05:24
5,5,7.0,,,99d657ab-b907-4748-8aea-d7c0f545c4ad,Initial Subscription,10000,DOP,Paid,Cash,2024,2024-05-06 01:32:53,2024-06-05 01:32:53
6,6,9.0,,,eb37b884-1084-4404-a3ea-e724eec5d076,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2021-12-27 06:44:03,2022-01-24 06:44:03
7,7,10.0,,,90823856-d821-4808-be3f-9fcf6f656186,Initial Subscription,10000,DOP,Paid,Cash,2026,2026-03-06 10:29:02,2026-03-15 10:29:02
8,8,11.0,,,7a98aaad-56c5-42c5-ae5b-f0a851f439e0,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-07-21 12:22:01,2022-07-26 12:22:01
9,9,12.0,,,7bbe4de4-7a0b-4693-ba3b-94f3403fdb3e,Initial Subscription,10000,DOP,Paid,Online Payment,2023,2023-05-09 15:52:15,2023-06-03 15:52:15
10,10,13.0,,,a3e4cdd2-7047-41a9-bcac-3dc047153ea7,Initial Subscription,10000,DOP,Paid,Bank Transfer,2023,2022-12-21 10:32:06,2023-01-01 10:32:06
11,11,14.0,,,38e609a6-2440-4bef-9450-dd1728664c3c,Initial Subscription,10000,DOP,Paid,Cash,2022,2022-10-09 22:59:12,2022-11-05 22:59:12
12,12,18.0,,,7481931b-83e5-44a9-862f-acf281f15c80,Initial Subscription,10000,DOP,Paid,Online Payment,2022,2022-01-11 05:59:02,2022-02-04 05:59:02
13,13,19.0,,,e707ed91-622c-4758-9e83-46d971c298b3,Initial Subscription,10000,DOP,Paid,Bank Transfer,2022,2022-03-24 23:16:01,2022-04-10 23:16:01
14,14,20.0,,,db716dbd-c913-4db0-929c-fba2d0980e6f,Initial Subscription,10000,DOP,Paid,Online Payment,2024,2024-04-01 12:07:06,2024-04-07 12:07:06
15,15,21.0,,,ed82874c-14d5-4bb7-9eef-921ceade4ee3,Initial Subscription,10000,DOP,Paid,Bank Transfer,2025,2025-03-05 21:33:50,2025-04-02 21:33:50
16,16,22.0,,,d525b14a-9012-4451-8186-313a8c5c6137,Initial Subscription,10000,DOP,Paid,Credit Card,2025,2025-04-17 14:56:10,2025-05-06 14:56:10
17,17,24.0,,,5f916dda-5505-4b49-b815-4b9384e70033,Initial Subscription,10000,DOP,Paid,Check,2022,2022-04-19 16:49:04,2022-05-02 16:49:04
18,18,27.0,,,ab375f3b-ded7-4190-97b6-6ddf7e2696fd,Initial Subscription,10000,DOP,Paid,Online Payment,2025,2025-09-14 11:05:38,2025-09-26 11:05:38
19,19,29.0,,,388fa2ed-f931-40f3-992d-0e7289b19e79,Initial Subscription,10000,DOP,Paid,Online Payment,2024,2024-01-10 02:01:39,2024-01-23 02:01:39
20,20,33.0,,,d060b692-2ff9-432f-bb00-2c7620781f1f,Initial Subscription,10000,DOP,Paid,Online Payment,2025,2025-07-21 16:18:30,2025-08-06 16:18:30
21,21,34.0,,,c76ab393-a3a5-4b87-8a5d-94e8983ae726,Initial Subscription,10000,DOP,Paid,Credit Card,2024,2024-07-16 06:29:38,2024-08-10 06:29:38
22,22,35.0,,,52dd2c90-0f4a-488d-ab0b-88630749ad41,Initial Subscription,10000,DOP,Paid,Online Payment,2023,2023-03-04 14:18:08,2023-03-13 14:18:08
23,23,36.0,,,49621035-51d7-45af-8325-c89296d57278,Initial Subscription,10000,DOP,Paid,Credit Card,2024,2024-02-29 15:57:26,2024-03-06 15:57:26
24,24,39.0,,,702a9bd3-1d01-41ac-bd4b-dbf259c629bf,Initial Subscription,10000,DOP,Paid,Credit Card,2026,2026-04-26 22:43:49,2026-05-20 22:43:49
25,25,40.0,,,8cef7ab9-5274-40a1-a139-86e93ae8cc86,Initial Subscription,10000,DOP,Paid,Online Payment,2022,2022-08-23 23:45:26,2022-09-02 23:45:26
26,26,42.0,,,5290a6d2-084c-4b83-88cd-4a2d5d441b28,Initial Subscription,10000,DOP,Paid,Online Payment,2022,2022-07-31 17:36:13,2022-08-25 17:36:13
